voxel_size_m,facet_mean_K,voxel_mean_K,voxel_mae_K,voxel_rmse_K,voxel_bias_K,voxel_corr,hex_mean_K,hex_mae_K,hex_rmse_K,hex_bias_K,hex_corr,hex_rmse_improvement_pct
0.1,301.9315185546875,300.23626708984375,1.716322422027588,2.1321890354156494,-1.6952342987060547,0.8382612683915956,300.2383117675781,1.7145559787750244,2.1305365562438965,-1.693212866783142,0.8379516696308087,0.07750153219556744
0.25,301.9315185546875,300.19219970703125,1.798046588897705,2.269775867462158,-1.739320993423462,0.7906430136221994,300.2000427246094,1.7922320365905762,2.2637617588043213,-1.73148512840271,0.7891887533870056,0.26496486917720885
0.5,301.9315185546875,300.1297912597656,1.9746875762939453,2.516918182373047,-1.801688313484192,0.682846466753766,300.1515197753906,1.9610562324523926,2.499007225036621,-1.7799633741378784,0.6797388669209448,0.7116225494282369
0.75,301.9315185546875,300.1192626953125,2.138406991958618,2.724764823913574,-1.8122313022613525,0.558384138566141,300.1551513671875,2.1170573234558105,2.6939587593078613,-1.776329517364502,0.5543089547322777,1.1305953576377314
1.0,301.9315185546875,299.96356201171875,2.395772695541382,3.07731294631958,-1.967938780784607,0.39360642523929323,300.0345764160156,2.353817939758301,3.0115878582000732,-1.8969159126281738,0.38883645893290064,2.135794742556585
1.5,301.9315185546875,300.058837890625,2.683040142059326,3.4326486587524414,-1.8726744651794434,0.07623503149635932,300.18316650390625,2.607598304748535,3.318747043609619,-1.7483575344085693,0.06622223278021402,3.3181844827725127
2.0,301.9315185546875,300.2547912597656,2.641901731491089,3.239100933074951,-1.6767263412475586,-0.06308058199611176,300.4703369140625,2.497720718383789,3.0297579765319824,-1.4611586332321167,-0.06853140601162243,6.4629957777893265
2.5,301.9315185546875,300.20465087890625,2.6944210529327393,3.2749178409576416,-1.726868987083435,-0.0637550276170076,300.50006103515625,2.5150933265686035,3.0648176670074463,-1.4314608573913574,-0.0765465007123059,6.415433429278283
3.0,301.9315185546875,300.4845886230469,2.450615882873535,2.9029579162597656,-1.446912407875061,-0.024928896851376073,300.7441711425781,2.311020851135254,2.7796096801757812,-1.1873364448547363,-0.0487614892618117,4.249053539257264
4.0,301.9315185546875,300.8428955078125,2.162966728210449,2.4720077514648438,-1.0885791778564453,0.0681712626149114,301.08563232421875,2.027554988861084,2.3421874046325684,-0.8458727598190308,0.062071609610591494,5.251615685887212
5.0,301.9315185546875,300.8423156738281,2.2803525924682617,2.740161895751953,-1.0891766548156738,-0.09299351430783237,301.0437927246094,2.1669392585754395,2.6724984645843506,-0.8877116441726685,-0.09427999623739587,2.4693223883048843
