voxel_size_m,facet_mean_K,voxel_mean_K,voxel_mae_K,voxel_rmse_K,voxel_bias_K,voxel_corr,hex_mean_K,hex_mae_K,hex_rmse_K,hex_bias_K,hex_corr,hex_rmse_improvement_pct
0.1,301.97601538053266,300.2922922476807,1.7014407741661668,2.1113146830060656,-1.6837231328519606,0.8344861912918177,300.21964186859464,1.7662549257345406,2.1751250004625335,-1.756373511938015,0.8457944064208567,-3.0223025477952747
0.25,301.97601538053266,300.2554148659368,1.7781678790818134,2.246393854366029,-1.7206005145958154,0.7846783048520153,300.2211971052367,1.8035048828852054,2.2755622790531227,-1.754818275295963,0.79058733660361,-1.2984555059391223
0.5,301.97601538053266,300.22287261510905,1.927728063301794,2.467448310497797,-1.7531427654236371,0.6749610882129905,300.21463510467026,1.9321546473626583,2.4745538049136866,-1.761380275862384,0.6766042668361534,-0.28796933194747965
0.75,301.97601538053266,300.20384108597443,2.100974416110296,2.704422632955279,-1.7721742945582044,0.5369026437860986,300.2212145500641,2.091490118336015,2.6892198889861936,-1.7548008304685547,0.5347109566643402,0.5621437930532491
1.0,301.97601538053266,300.11047480387793,2.2915900274545984,2.9898509398236333,-1.865540576654701,0.3884610600636303,300.16597420342544,2.263219138765404,2.9405776570316084,-1.8100411771072418,0.38174991440602946,1.6480180378133258
1.5,301.97601538053266,300.1937536982575,2.4937142840046453,3.1860212604696043,-1.7822616822750774,0.1620338290888131,300.30848758486604,2.4290951495931767,3.083450229789603,-1.6675277956665906,0.14897594664826017,3.2194082303419025
2.0,301.97601538053266,300.4528307505808,2.3403224521626647,2.8626381964840064,-1.5231846299518619,0.11064829099447537,300.6438644274701,2.228157476883792,2.6875644998212005,-1.3321509530625488,0.10073268477937795,6.115816412910213
2.5,301.97601538053266,300.2335162435272,2.578831118412849,3.1507701209443253,-1.7424991370054501,0.026886449604251395,300.50700970114457,2.420859496369579,2.9511222368384913,-1.4690056793881023,-0.0015408157496815105,6.336478906496579
3.0,301.97601538053266,300.3126322043437,2.4846845701673406,2.99823467279485,-1.6633831761889235,0.06739403675942406,300.58476679076426,2.3370367979284894,2.8216021632516144,-1.3912485897683864,0.031346639979614975,5.891216959964818
4.0,301.97601538053266,300.68233485318393,2.1713213221151375,2.483233955411331,-1.2936805273486742,0.1921137486683119,300.9516690130554,2.0324041525775822,2.323158479409931,-1.024346367477245,0.1779558049653328,6.446250287959055
5.0,301.97601538053266,300.46542275394364,2.4482747648193515,2.9042703768479092,-1.5105926265890448,-0.0078083717910124,300.7855924050596,2.26802457138154,2.7368346019665535,-1.1904229754730682,-0.040881658811073994,5.765157962430434
