voxel_size_m,mean_voxel_mae,mean_hex_mae,hex_mae_improvement_pct,mean_voxel_rmse,mean_hex_rmse,hex_rmse_improvement_pct
0.1,0.004084161017090082,0.0040788413025438786,0.13025232168720757,0.007461391389369965,0.007449375465512276,0.16104132903157486
0.25,0.004588051699101925,0.004574546590447426,0.29435389006498003,0.007867258973419666,0.007836010307073593,0.3971989030950973
0.5,0.005935113411396742,0.005886692088097334,0.8158449543091861,0.009703471325337887,0.0096158841624856,0.9026374161953621
0.75,0.0071045029908418655,0.007015411276370287,1.254017551775588,0.01133281085640192,0.011191383935511112,1.2479421273577151
1.0,0.008890040218830109,0.008664251305162907,2.539796312607856,0.013450851663947105,0.013143005780875683,2.288672054101637
1.5,0.010980461724102497,0.010511836968362331,4.267805557862092,0.016281424090266228,0.015741102397441864,3.3186390197119997
2.0,0.012190785259008408,0.011355040594935417,6.85554413695717,0.01761827990412712,0.016729146242141724,5.046654195663647
2.5,0.011977857910096645,0.010816831141710281,9.693108543287066,0.01686936244368553,0.015893440693616867,5.785172695924656
3.0,0.010749924927949905,0.009904864244163036,7.861084514085337,0.016053641214966774,0.01550049614161253,3.4456050558707374
4.0,0.01020064763724804,0.009437340311706066,7.482930032351365,0.016221784055233,0.015727568417787552,3.0466170413976146
