voxel_size_m,vza_deg,facet_mean,voxel_mean,voxel_mae,voxel_rmse,voxel_bias,voxel_corr,hex_mean,hex_mae,hex_rmse,hex_bias,hex_corr,hex_mae_improvement_pct,hex_rmse_improvement_pct
0.1,0,0.06675726175308228,0.06413158774375916,0.004084161017090082,0.007461391389369965,-0.0026256723795086145,0.8898764377690151,0.06414361298084259,0.0040788413025438786,0.007449375465512276,-0.0026136506348848343,0.8902132580307827,0.13025232168720757,0.16104132903157486
0.25,0,0.06675726175308228,0.0643363669514656,0.004588051699101925,0.007867258973419666,-0.0024208975955843925,0.8715777427230588,0.06437582522630692,0.004574546590447426,0.007836010307073593,-0.002381441183388233,0.8722391427277921,0.29435389006498003,0.3971989030950973
0.5,0,0.06675726175308228,0.06425699591636658,0.005935113411396742,0.009703471325337887,-0.002500273985788226,0.7959311653716759,0.06434556841850281,0.005886692088097334,0.0096158841624856,-0.002411694498732686,0.7976254540625559,0.8158449543091861,0.9026374161953621
0.75,0,0.06675726175308228,0.06460438668727875,0.0071045029908418655,0.01133281085640192,-0.0021528766956180334,0.7152517715178932,0.06473496556282043,0.007015411276370287,0.011191383935511112,-0.002022295258939266,0.7172373621468758,1.254017551775588,1.2479421273577151
1.0,0,0.06675726175308228,0.0642220601439476,0.008890040218830109,0.013450851663947105,-0.0025352085940539837,0.6102710912683529,0.06445086002349854,0.008664251305162907,0.013143005780875683,-0.002306397771462798,0.6132918813673573,2.539796312607856,2.288672054101637
1.5,0,0.06675726175308228,0.06538617610931396,0.010980461724102497,0.016281424090266228,-0.001371094142086804,0.41349469733978084,0.06563039124011993,0.010511836968362331,0.015741102397441864,-0.001126874820329249,0.41239719847043754,4.267805557862092,3.3186390197119997
2.0,0,0.06675726175308228,0.06604013592004776,0.012190785259008408,0.01761827990412712,-0.0007171261822804809,0.28433319796669937,0.06632573902606964,0.011355040594935417,0.016729146242141724,-0.00043152333819307387,0.2759455892208744,6.85554413695717,5.046654195663647
2.5,0,0.06675726175308228,0.06628779321908951,0.011977857910096645,0.01686936244368553,-0.0004694662638939917,0.23311772011742113,0.06645966321229935,0.010816831141710281,0.015893440693616867,-0.0002976017422042787,0.22384723929646985,9.693108543287066,5.785172695924656
3.0,0,0.06675726175308228,0.06710173189640045,0.010749924927949905,0.016053641214966774,0.00034446289646439254,0.16809222800986884,0.06731671839952469,0.009904864244163036,0.01550049614161253,0.0005594544345512986,0.16504282683344315,7.861084514085337,3.4456050558707374
4.0,0,0.06675726175308228,0.0675027146935463,0.01020064763724804,0.016221784055233,0.0007454550941474736,0.044076918988409076,0.06777303665876389,0.009437340311706066,0.015727568417787552,0.0010157753713428974,0.05030209243712886,7.482930032351365,3.0466170413976146
